id,video_name,large_vs_large,large_vs_small,int_vs_int,large_vs_female,small_vs_female,int_vs_female,female_vs_female,female_vs_male,large_courting,intermediate_courting,small_courting,number_focal,number_large_male,number_small_male,number_model_female,male_chased_juvenile,tank_id,pairwise_distance_large_males,pairwise_distance_small_males,pairwise_distance_females,pairewise_distance_juvs,total_fish,date,comments,small_vs_small,observer,treatment,total_courtship,total_aggression,aggression_towards_females_by_males,aggression_towards_males_by_males,good_video
FF1_03-20-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/03_20_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,7.333333333333333,0.0,FF1,NaN,NaN,352.80333333333334,257.2966666666667,11.0,2016-03-20,,,,FF,0.0,0.0,0.0,0.0,TRUE
FF1_03-27-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/03_27_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,7.0,0.0,FF1,NaN,NaN,366.9533333333333,377.2366666666667,14.333333333333334,2016-03-27,,,,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF1_04-03-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/04_03_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,7.0,0.0,FF1,NaN,NaN,542.63,626.1700000000001,12.5,2016-04-03,,,,FF,0.0,0.0,0.0,0.0,FALSE
FF1_04-10-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/04_10_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.5,0.0,FF1,NaN,NaN,749.56,433.57500000000005,15.0,2016-04-10,,,,FF,0.0,0.0,0.0,0.0,FALSE
FF1_06-06-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_06_2016_FF1_1min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,13.5,0.0,0.0,7.5,0.0,FF1,NaN,NaN,276.495,391.595,21.0,2016-06-06,,,,FF,0.0,0.5,0.0,0.0,FALSE
FF1_06-13-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_13_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,37.0,0.0,0.0,6.0,0.0,FF1,NaN,NaN,367.32,470.4866666666667,43.0,2016-06-13,,0,Rachel Koeter,FF,0.0,0.6666666666666666,0.0,0.0,TRUE
FF1_06-24-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/06_24_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,7.333333333333333,0.0,FF1,NaN,NaN,468.81666666666666,440.5266666666667,29.333333333333332,2016-06-24,,0,Quin Hricik,FF,0.0,0.0,0.0,0.0,TRUE
FF1_07-01-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/07_01_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,20.666666666666668,0.0,0.0,7.0,0.0,FF1,NaN,NaN,434.65333333333336,580.2033333333334,27.666666666666668,2016-07-01,0,0,RE,FF,0.0,0.6666666666666666,0.0,0.0,TRUE
FF1_07-07-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/07_07_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,FF1,NaN,NaN,423.0733333333334,472.76666666666665,22.0,2016-07-07,0,0,RE,FF,0.0,0.6666666666666666,0.0,0.0,TRUE
FF1_07-11-2016,/Volumes/THE MOLLUSK/common_garden_weekly_videos/short_videos/07_11_2016_FF1_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,8.0,0.0,FF1,NaN,NaN,425.06666666666666,532.7,33.0,2016-07-11,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
